Component Name,Level,Component Yield,BoM Quantity per Assembly,Quantity per Assembly,Quantity per Top Level Assembly,On Hand,Available,Back Ordered,On Order,Units,Average Cost,Description,Minimum Quantity
17000513,2,100,1,1,1,534,529,0,0,Each,0.02720974,#4 Washer 0.21 OD,
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
7000027,1,100,1,1,1,22,22,0,0,Each,644.38,Door Assembly IP,
15000257,2,100,1,1,1,97,87,0,0,Each,72.25,Shutter Cylinder,
15000277,2,100,1,1,1,75,74,0,0,Each,287.34,Door Plate IP,
15000278,2,100,1,1,1,177,171,0,0,Each,49.25,Door Insert,
15000279,2,100,1,1,1,179,178,0,0,Each,48.81519553,Shutter Holder B IP,
15000280,2,100,1,1,1,181,175,0,0,Each,85.5,Door Heater IP,
15240055,2,100,1,1,1,209,208,0,0,Each,18.38,"Tube, Reflector, Stainless Steel",
15240150,2,100,1,1,1,60,54,0,0,Each,49.5,Shutter Blade Assembly,
15240151,2,100,1,1,1,82,81,0,0,Each,26.33,Shutter Holder A,
17000021,2,100,4,4,4,644,640,0,0,Each,0.06624224,"SCREW, 6-32 X 5/16, PH, PHILLIPS",
17000043,2,100,6,6,6,372,366,0,0,Each,0.07346774,"Screw, 8-32 x 3/8, Socket, Flathd, SS",
17000053,2,100,5,5,5,210,197,0,0,Each,0.10166667,"Screw, 4-40 x 3/8, Panhd, Phillips, SS",
17000058,2,100,2,2,2,64,52,0,0,Each,1.0128125,"Set Screw, 8-32 x 1/2, Nylon Tip",
17000059,2,100,5,5,5,"1,127","1,075",0,0,Each,0.02079858,"Washer, #4, Split Lock, Zinc",
17000089,2,100,1,1,1,112,111,0,0,Each,1.501875,"Ftg, Elbow, 10-32 M to 1/8 OD Tube",
17000098,2,100,1,1,1,557,542,0,0,Each,0.25387792,O-ring A-012,
17000140,2,100,0,0,0,8,5,0,12,Each,18.5575,"Lubricant, Flourinated, Krytox",
17000194,2,100,0,0,0,2,2,0,0,Each,36.935,Threadlocker RoHS Compliant,
17000445,2,100,1,1,1,323,322,0,0,Each,0.23263158,"3/32 E-Clip, SS",
17000516,2,100,1,1,1,57,56,0,0,Each,1.70824561,"Threaded Flow Restrictor, 10-32 x 0.010",
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
7000021,1,100,1,1,1,22,22,0,0,Each,145.03,Door Latch Assembly,
15000237,2,100,1,1,1,135,134,0,0,Each,124.224963,Door Latch Cylinder,
15000300,2,100,1,1,1,122,121,0,0,Each,22.5,Door Latch Wedge,
17000067,2,100,1,1,1,161,158,0,0,Each,0.03496894,"Nut, 10-32 x 3/8, M/S, Hex, SS",
17000320,2,100,1,1,1,117,116,0,0,Each,2.68,"Ftg, Adapter, 10-32 to 1/8 in. OD",
17000321,2,100,1,1,1,235,232,0,0,Each,0.0227234,"Washer #10, Split",
